Период,"Выработанная энергия, кВт*ч"
2016-01,53565
2016-02,21301
2016-03,38144
2016-04,26949
2016-05,5
2016-06,20
2016-07,0
2016-08,38418
2016-09,35401
2016-10,32019
2016-11,58723
2016-12,71586
2017-01,69165
2017-02,57270
2017-03,63435
2017-04,47936
2017-05,49420
2017-06,44385
2017-07,12137
2017-08,346
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,26131
2018-05,58986
2018-06,65400
2018-07,78192
2018-08,74344
2018-09,65603
2018-10,55165
2018-11,57554
2018-12,69991
2019-01,70371
2019-02,63778
2019-03,65840
2019-04,63399
2019-05,74771
2019-06,77287
2019-07,85327
2019-08,57717
2019-09,44552
2019-10,47964
2019-11,50150
2019-12,57864
2020-01,51524
2020-02,0
2020-03,10277
2020-04,39526
2020-05,0
2020-06,4
